loc,can,lado,local_date,local_hour
Scorpion,Cancha1,LadoA,2025-08-25,10
Scorpion,Cancha1,LadoA,2025-08-25,09
Scorpion,Cancha1,LadoA,2025-08-24,20
Scorpion,Cancha1,LadoA,2025-08-24,20
Scorpion,Cancha1,LadoA,2025-08-24,20
Scorpion,Cancha1,LadoA,2025-08-24,20
Scorpion,Cancha1,LadoA,2025-08-24,20
Scorpion,Cancha1,LadoA,2025-08-24,19
Scorpion,Cancha1,LadoA,2025-08-24,18
Scorpion,Cancha1,LadoA,2025-08-24,18
Scorpion,Cancha1,LadoA,2025-08-24,17
Scorpion,Cancha1,LadoA,2025-08-24,17
Scorpion,Cancha1,LadoA,2025-08-24,17
Scorpion,Cancha1,LadoA,2025-08-24,17
Scorpion,Cancha1,LadoA,2025-08-24,17
Scorpion,Cancha1,LadoA,2025-08-24,16
Scorpion,Cancha1,LadoA,2025-08-24,16
Scorpion,Cancha1,LadoA,2025-08-24,16
Scorpion,Cancha1,LadoA,2025-08-24,16
Scorpion,Cancha1,LadoA,2025-08-24,15
Scorpion,Cancha1,LadoA,2025-08-24,15
Scorpion,Cancha1,LadoA,2025-08-24,15
Scorpion,Cancha1,LadoA,2025-08-24,15
Scorpion,Cancha1,LadoA,2025-08-24,15
Scorpion,Cancha1,LadoA,2025-08-24,14
Scorpion,Cancha1,LadoA,2025-08-24,14
Scorpion,Cancha1,LadoA,2025-08-24,14
Scorpion,Cancha1,LadoA,2025-08-24,14
Scorpion,Cancha1,LadoA,2025-08-24,14
Scorpion,Cancha1,LadoA,2025-08-24,13
Scorpion,Cancha1,LadoA,2025-08-24,13
Scorpion,Cancha1,LadoA,2025-08-24,13
Scorpion,Cancha1,LadoA,2025-08-24,13
Scorpion,Cancha1,LadoA,2025-08-24,13
Scorpion,Cancha1,LadoB,2025-08-25,09
Scorpion,Cancha1,LadoB,2025-08-24,21
Scorpion,Cancha1,LadoB,2025-08-24,20
Scorpion,Cancha1,LadoB,2025-08-24,20
Scorpion,Cancha1,LadoB,2025-08-24,20
Scorpion,Cancha1,LadoB,2025-08-24,19
Scorpion,Cancha1,LadoB,2025-08-24,19
Scorpion,Cancha1,LadoB,2025-08-24,19
Scorpion,Cancha1,LadoB,2025-08-24,19
Scorpion,Cancha1,LadoB,2025-08-24,18
Scorpion,Cancha1,LadoB,2025-08-24,18
Scorpion,Cancha1,LadoB,2025-08-24,17
Scorpion,Cancha1,LadoB,2025-08-24,17
Scorpion,Cancha1,LadoB,2025-08-24,17
Scorpion,Cancha1,LadoB,2025-08-24,17
Scorpion,Cancha1,LadoB,2025-08-24,16
Scorpion,Cancha1,LadoB,2025-08-24,16
Scorpion,Cancha1,LadoB,2025-08-24,16
Scorpion,Cancha1,LadoB,2025-08-24,16
Scorpion,Cancha1,LadoB,2025-08-24,15
Scorpion,Cancha1,LadoB,2025-08-24,15
Scorpion,Cancha1,LadoB,2025-08-24,15
Scorpion,Cancha1,LadoB,2025-08-24,15
Scorpion,Cancha1,LadoB,2025-08-24,15
Scorpion,Cancha1,LadoB,2025-08-24,14
Scorpion,Cancha1,LadoB,2025-08-24,13
